poster_id,asset_type,description
Asia_CPOI,map,Asia Lambert azimuthal equal-area relief and cultural regions map
Asia_CPOI,graph,Silk to Silicon trade-to-tech timeline
Asia_CPOI,image,AI collage of Himalaya Gobi Mekong skyline landscapes
Asia_CPOI,image,AI photo of diverse Asian visitors interacting with tactile map
Asia_WEATHER,map,Asia monsoon and storm systems map with Mumbai-Lhasa transect
Asia_WEATHER,graph,Monsoon onset and retreat radial calendar
Asia_WEATHER,graph,Siberian cold surge frequency bar chart
Asia_WEATHER,image,AI photo of Mekong Delta farmers watching monsoon clouds
Asia_WEATHER,image,AI satellite-style typhoon visualization with data overlays
Asia_LANDFORM_L,map,Himalayan Water Towers tectonic and hazard map
Asia_LANDFORM_L,graph,Seasonal discharge mix stacked area chart
Asia_LANDFORM_L,image,AI panorama of Himalayan village with glacier-fed river
Asia_LANDFORM_L,image,AI cutaway of glacier and moraine dam with sensors
Asia_LANDFORM_R,map,Asia-Pacific island arc relief and risk map
Asia_LANDFORM_R,graph,Volcanic soil renewal yield comparison chart
Asia_LANDFORM_R,image,AI aerial of Indonesian volcano terraces and village
Asia_LANDFORM_R,image,AI illustration of tsunami evacuation drill signage
Asia_BIOCOLL,map,Tri-biome extent and stewardship map
Asia_BIOCOLL,graph,Biodiversity indicator radar chart
Asia_BIOCOLL,image,AI montage of taiga herder forest guardian reef divers
Asia_BIOCOLL,image,AI macro of coral polyps lichens monsoon canopy
Asia_ANIMCOLL,map,Asia migration corridors map with stopovers
Asia_ANIMCOLL,graph,Bar-headed goose altitude profile line chart
Asia_ANIMCOLL,image,AI composite of migratory species with researchers
Asia_ANIMCOLL,image,AI infographic-style migration map with monitors
Asia_FEATANIM,map,Snow leopard range and community partnership map
Asia_FEATANIM,graph,Livestock loss decline line chart
Asia_FEATANIM,image,AI night photo of snow leopard on ridge with village lights
Asia_FEATANIM,image,AI portrait of ranger and student adjusting camera trap
Asia_TREASBIO,map,Asia genetic resource network map
Asia_TREASBIO,graph,Diversity recovered stacked bar chart
Asia_TREASBIO,image,AI portraits of Asian seed keepers monks reef guardians
Asia_TREASBIO,image,AI still life of heirloom rice yak wool giant clam shells
Asia_ETHNO,map,Cultural knowledge territories and seasonal calendars map
Asia_ETHNO,graph,Observation frequency bar chart
Asia_ETHNO,image,AI portraits of Ainu Khasi Kazakh Sama-Bajau knowledge keepers
Asia_ETHNO,image,AI workshop scene with maps drums weather instruments
Asia_STATSFT,map,Mini-map series for Asia systems featurettes
Asia_STATSFT,graph,Cooling corridor temperature drop bar chart
Asia_STATSFT,image,AI collage of microgrid tech rice labs qanat repair urban parks
Asia_STATSFT,image,AI vector layout of four featurette mini-maps
Asia_CULTINNOV,map,Asia innovation network map
Asia_CULTINNOV,graph,Impact dashboard radar chart
Asia_CULTINNOV,image,AI documentary scenes of bamboo tower floating classroom rice robot ger retrofit
Asia_CULTINNOV,image,AI infographic collage of innovation matrix with multilingual icons
Asia_CHARNARR,image,AI portrait of Padma Dolma adjusting solar-powered loom with prayer flags
Asia_CHARNARR,image,AI image of Ao Naga boy playing log drum with rainfall tablet
Asia_CHARNARR,image,AI portrait of Sama-Bajau elder steering boat with granddaughter measuring temperature
